DATA;PIS;COFINS;TUSDd_P_A2_AZUL;TUSDd_FP_A2_AZUL;TUSDe_P_A2_AZUL;TUSDe_FP_A2_AZUL;TE_P_A2_AZUL;TE_FP_A2_AZUL;TUSDd_P_A3_AZUL;TUSDd_FP_A3_AZUL;TUSDe_P_A3_AZUL;TUSDe_FP_A3_AZUL;TE_P_A3_AZUL;TE_FP_A3_AZUL;TUSDd_P_A3a_AZUL;TUSDd_FP_A3a_AZUL;TUSDe_P_A3a_AZUL;TUSDe_FP_A3a_AZUL;TE_P_A3a_AZUL;TE_FP_A3a_AZUL;TUSDd_P_A3a_VERDE;TUSDd_FP_A3a_VERDE;TUSDe_P_A3a_VERDE;TUSDe_FP_A3a_VERDE;TE_P_A3a_VERDE;TE_FP_A3a_VERDE;TUSDd_P_A4_AZUL;TUSDd_FP_A4_AZUL;TUSDe_P_A4_AZUL;TUSDe_FP_A4_AZUL;TE_P_A4_AZUL;TE_FP_A4_AZUL;TUSDd_P_A4_VERDE;TUSDd_FP_A4_VERDE;TUSDe_P_A4_VERDE;TUSDe_FP_A4_VERDE;TE_P_A4_VERDE;TE_FP_A4_VERDE
ago/13;1.28;5.89;6,24;2,32;13,23;13,23;268,33;163,09;9,08;3,18;16,86;16,86;268,33;163,09;22,82;7,97;20,82;20,82;268,33;163,09;0;0;569,63;20,82;268,33;163,09;22,82;7,97;20,8;20,8;268,33;163,09;0;0;569,6;20,8;268,33;163,09
set/13;0.61;2.81;6,24;2,32;13,23;13,23;268,33;163,09;9,08;3,18;16,86;16,86;268,33;163,09;22,82;7,97;20,82;20,82;268,33;163,09;0;0;569,63;20,82;268,33;163,09;22,82;7,97;20,8;20,8;268,33;163,09;0;0;569,6;20,8;268,33;163,09
out/13;0.63;2.91;6,24;2,32;13,23;13,23;268,33;163,09;9,08;3,18;16,86;16,86;268,33;163,09;22,82;7,97;20,82;20,82;268,33;163,09;0;0;569,63;20,82;268,33;163,09;22,82;7,97;20,8;20,8;268,33;163,09;0;0;569,6;20,8;268,33;163,09
nov/13;0.33;1.5;6,24;2,32;13,23;13,23;268,33;163,09;9,08;3,18;16,86;16,86;268,33;163,09;22,82;7,97;20,82;20,82;268,33;163,09;0;0;569,63;20,82;268,33;163,09;22,82;7,97;20,8;20,8;268,33;163,09;0;0;569,6;20,8;268,33;163,09
dez/13;0.66;3.02;6,24;2,32;13,23;13,23;268,33;163,09;9,08;3,18;16,86;16,86;268,33;163,09;22,82;7,97;20,82;20,82;268,33;163,09;0;0;569,63;20,82;268,33;163,09;22,82;7,97;20,8;20,8;268,33;163,09;0;0;569,6;20,8;268,33;163,09
jan/14;0.42;1.93;6,24;2,32;13,23;13,23;268,33;163,09;9,08;3,18;16,86;16,86;268,33;163,09;22,82;7,97;20,82;20,82;268,33;163,09;0;0;569,63;20,82;268,33;163,09;22,82;7,97;20,8;20,8;268,33;163,09;0;0;569,6;20,8;268,33;163,09
fev/14;0.42;1.94;6,24;2,32;13,23;13,23;268,33;163,09;9,08;3,18;16,86;16,86;268,33;163,09;22,82;7,97;20,82;20,82;268,33;163,09;0;0;569,63;20,82;268,33;163,09;22,82;7,97;20,8;20,8;268,33;163,09;0;0;569,6;20,8;268,33;163,09
mar/14;0.73;3.38;6,24;2,32;13,23;13,23;268,33;163,09;9,08;3,18;16,86;16,86;268,33;163,09;22,82;7,97;20,82;20,82;268,33;163,09;0;0;569,63;20,82;268,33;163,09;22,82;7,97;20,8;20,8;268,33;163,09;0;0;569,6;20,8;268,33;163,09
abr/14;0.63;2.9;6,24;2,32;13,23;13,23;268,33;163,09;9,08;3,18;16,86;16,86;268,33;163,09;22,82;7,97;20,82;20,82;268,33;163,09;0;0;569,63;20,82;268,33;163,09;22,82;7,97;20,8;20,8;268,33;163,09;0;0;569,6;20,8;268,33;163,09
mai/14;0.73;3.34;6,24;2,32;13,23;13,23;268,33;163,09;9,08;3,18;16,86;16,86;268,33;163,09;22,82;7,97;20,82;20,82;268,33;163,09;0;0;569,63;20,82;268,33;163,09;22,82;7,97;20,8;20,8;268,33;163,09;0;0;569,6;20,8;268,33;163,09
jun/14;0.68;3.14;6,24;2,32;13,23;13,23;268,33;163,09;9,08;3,18;16,86;16,86;268,33;163,09;22,82;7,97;20,82;20,82;268,33;163,09;0;0;569,63;20,82;268,33;163,09;22,82;7,97;20,8;20,8;268,33;163,09;0;0;569,6;20,8;268,33;163,09
jul/14;0.99;4.57;6,24;2,32;13,23;13,23;268,33;163,09;9,08;3,18;16,86;16,86;268,33;163,09;22,82;7,97;20,82;20,82;268,33;163,09;0;0;569,63;20,82;268,33;163,09;22,82;7,97;20,8;20,8;268,33;163,09;0;0;569,6;20,8;268,33;163,09
ago/14;0.24;1.12;7,58;3,15;15,74;15,74;352,12;207,77;10,44;4,02;20,87;20,87;352,12;207,77;24,31;8,92;26,38;26,38;352,12;207,77;0;0;618,78;26,38;352,12;207,77;24,31;8,92;26,53;26,53;352,12;207,77;0;0;618,93;26,53;352,12;207,77
set/14;0.21;0.97;7,58;3,15;15,74;15,74;352,12;207,77;10,44;4,02;20,87;20,87;352,12;207,77;24,31;8,92;26,38;26,38;352,12;207,77;0;0;618,78;26,38;352,12;207,77;24,31;8,92;26,53;26,53;352,12;207,77;0;0;618,93;26,53;352,12;207,77
out/14;0.84;3.88;7,58;3,15;15,74;15,74;352,12;207,77;10,44;4,02;20,87;20,87;352,12;207,77;24,31;8,92;26,38;26,38;352,12;207,77;0;0;618,78;26,38;352,12;207,77;24,31;8,92;26,53;26,53;352,12;207,77;0;0;618,93;26,53;352,12;207,77
nov/14;0.46;2.1;7,58;3,15;15,74;15,74;352,12;207,77;10,44;4,02;20,87;20,87;352,12;207,77;24,31;8,92;26,38;26,38;352,12;207,77;0;0;618,78;26,38;352,12;207,77;24,31;8,92;26,53;26,53;352,12;207,77;0;0;618,93;26,53;352,12;207,77
dez/14;0.44;2.0;7,58;3,15;15,74;15,74;352,12;207,77;10,44;4,02;20,87;20,87;352,12;207,77;24,31;8,92;26,38;26,38;352,12;207,77;0;0;618,78;26,38;352,12;207,77;24,31;8,92;26,53;26,53;352,12;207,77;0;0;618,93;26,53;352,12;207,77
jan/15;0.62;2.87;7,58;3,15;15,74;15,74;352,12;207,77;10,44;4,02;20,87;20,87;352,12;207,77;24,31;8,92;26,38;26,38;352,12;207,77;0;0;618,78;26,38;352,12;207,77;24,31;8,92;26,53;26,53;352,12;207,77;0;0;618,93;26,53;352,12;207,77
fev/15;0.72;3.31;7,58;3,15;15,74;15,74;352,12;207,77;10,44;4,02;20,87;20,87;352,12;207,77;24,31;8,92;26,38;26,38;352,12;207,77;0;0;618,78;26,38;352,12;207,77;24,31;8,92;26,53;26,53;352,12;207,77;0;0;618,93;26,53;352,12;207,77
mar/15;0.4;1.83;7,58;3,15;15,74;15,74;352,12;207,77;10,44;4,02;20,87;20,87;352,12;207,77;24,31;8,92;26,38;26,38;352,12;207,77;0;0;618,78;26,38;352,12;207,77;24,31;8,92;26,53;26,53;352,12;207,77;0;0;618,93;26,53;352,12;207,77
abr/15;0.55;2.54;7,58;3,15;15,74;15,74;352,12;207,77;10,44;4,02;20,87;20,87;352,12;207,77;24,31;8,92;26,38;26,38;352,12;207,77;0;0;618,78;26,38;352,12;207,77;24,31;8,92;26,53;26,53;352,12;207,77;0;0;618,93;26,53;352,12;207,77
mai/15;0.67;3.08;7,58;3,15;15,74;15,74;352,12;207,77;10,44;4,02;20,87;20,87;352,12;207,77;24,31;8,92;26,38;26,38;352,12;207,77;0;0;618,78;26,38;352,12;207,77;24,31;8,92;26,53;26,53;352,12;207,77;0;0;618,93;26,53;352,12;207,77
jun/15;0.65;3.01;7,58;3,15;15,74;15,74;352,12;207,77;10,44;4,02;20,87;20,87;352,12;207,77;24,31;8,92;26,38;26,38;352,12;207,77;0;0;618,78;26,38;352,12;207,77;24,31;8,92;26,53;26,53;352,12;207,77;0;0;618,93;26,53;352,12;207,77
jul/15;0.86;3.95;7,58;3,15;15,74;15,74;352,12;207,77;10,44;4,02;20,87;20,87;352,12;207,77;24,31;8,92;26,38;26,38;352,12;207,77;0;0;618,78;26,38;352,12;207,77;24,31;8,92;26,53;26,53;352,12;207,77;0;0;618,93;26,53;352,12;207,77
ago/15;0.36;1.64;7,48;2,98;64,18;64,18;394,93;247,42;10,53;3,91;69,25;69,25;394,93;247,42;25,31;9,11;74,51;74,51;394,93;247,42;0;0;688,77;74,51;394,93;247,42;25,31;9,11;74,51;74,51;394,93;247,42;0;0;688,77;74,51;394,93;247,42
set/15;0.57;2.64;7,48;2,98;64,18;64,18;394,93;247,42;10,53;3,91;69,25;69,25;394,93;247,42;25,31;9,11;74,51;74,51;394,93;247,42;0;0;688,77;74,51;394,93;247,42;25,31;9,11;74,51;74,51;394,93;247,42;0;0;688,77;74,51;394,93;247,42
out/15;0.92;4.25;7,48;2,98;64,18;64,18;394,93;247,42;10,53;3,91;69,25;69,25;394,93;247,42;25,31;9,11;74,51;74,51;394,93;247,42;0;0;688,77;74,51;394,93;247,42;25,31;9,11;74,51;74,51;394,93;247,42;0;0;688,77;74,51;394,93;247,42
nov/15;0.62;2.84;7,48;2,98;64,18;64,18;394,93;247,42;10,53;3,91;69,25;69,25;394,93;247,42;25,31;9,11;74,51;74,51;394,93;247,42;0;0;688,77;74,51;394,93;247,42;25,31;9,11;74,51;74,51;394,93;247,42;0;0;688,77;74,51;394,93;247,42
dez/15;0.79;3.62;7,48;2,98;64,18;64,18;394,93;247,42;10,53;3,91;69,25;69,25;394,93;247,42;25,31;9,11;74,51;74,51;394,93;247,42;0;0;688,77;74,51;394,93;247,42;25,31;9,11;74,51;74,51;394,93;247,42;0;0;688,77;74,51;394,93;247,42
jan/16;0.57;2.64;7,48;2,98;64,18;64,18;394,93;247,42;10,53;3,91;69,25;69,25;394,93;247,42;25,31;9,11;74,51;74,51;394,93;247,42;0;0;688,77;74,51;394,93;247,42;25,31;9,11;74,51;74,51;394,93;247,42;0;0;688,77;74,51;394,93;247,42
fev/16;0.71;3.29;7,48;2,98;64,18;64,18;394,93;247,42;10,53;3,91;69,25;69,25;394,93;247,42;25,31;9,11;74,51;74,51;394,93;247,42;0;0;688,77;74,51;394,93;247,42;25,31;9,11;74,51;74,51;394,93;247,42;0;0;688,77;74,51;394,93;247,42
mar/16;0.69;3.18;7,48;2,98;64,18;64,18;394,93;247,42;10,53;3,91;69,25;69,25;394,93;247,42;25,31;9,11;74,51;74,51;394,93;247,42;0;0;688,77;74,51;394,93;247,42;25,31;9,11;74,51;74,51;394,93;247,42;0;0;688,77;74,51;394,93;247,42
abr/16;1.15;5.29;7,48;2,98;64,18;64,18;394,93;247,42;10,53;3,91;69,25;69,25;394,93;247,42;25,31;9,11;74,51;74,51;394,93;247,42;0;0;688,77;74,51;394,93;247,42;25,31;9,11;74,51;74,51;394,93;247,42;0;0;688,77;74,51;394,93;247,42
mai/16;1.15;5.28;7,48;2,98;64,18;64,18;394,93;247,42;10,53;3,91;69,25;69,25;394,93;247,42;25,31;9,11;74,51;74,51;394,93;247,42;0;0;688,77;74,51;394,93;247,42;25,31;9,11;74,51;74,51;394,93;247,42;0;0;688,77;74,51;394,93;247,42
jun/16;0.9;4.17;7,48;2,98;64,18;64,18;394,93;247,42;10,53;3,91;69,25;69,25;394,93;247,42;25,31;9,11;74,51;74,51;394,93;247,42;0;0;688,77;74,51;394,93;247,42;25,31;9,11;74,51;74,51;394,93;247,42;0;0;688,77;74,51;394,93;247,42
jul/16;0.96;4.42;7,48;2,98;64,18;64,18;394,93;247,42;10,53;3,91;69,25;69,25;394,93;247,42;25,31;9,11;74,51;74,51;394,93;247,42;0;0;688,77;74,51;394,93;247,42;25,31;9,11;74,51;74,51;394,93;247,42;0;0;688,77;74,51;394,93;247,42
ago/16;0.9;4.13;8,64;3,47;49,52;49,52;374,63;244,05;14,04;5,22;52,59;52,59;374,63;244,05;25,19;9,09;57,21;57,21;374,63;244,05;0;0;667,68;57,21;374,63;244,05;25,19;9,09;57,21;57,21;374,63;244,05;0;0;667,68;57,21;374,63;244,05
set/16;0.94;4.31;8,64;3,47;49,52;49,52;374,63;244,05;14,04;5,22;52,59;52,59;374,63;244,05;25,19;9,09;57,21;57,21;374,63;244,05;0;0;667,68;57,21;374,63;244,05;25,19;9,09;57,21;57,21;374,63;244,05;0;0;667,68;57,21;374,63;244,05
out/16;0.91;4.19;8,64;3,47;49,52;49,52;374,63;244,05;14,04;5,22;52,59;52,59;374,63;244,05;25,19;9,09;57,21;57,21;374,63;244,05;0;0;667,68;57,21;374,63;244,05;25,19;9,09;57,21;57,21;374,63;244,05;0;0;667,68;57,21;374,63;244,05
nov/16;1.23;5.66;8,64;3,47;49,52;49,52;374,63;244,05;14,04;5,22;52,59;52,59;374,63;244,05;25,19;9,09;57,21;57,21;374,63;244,05;0;0;667,68;57,21;374,63;244,05;25,19;9,09;57,21;57,21;374,63;244,05;0;0;667,68;57,21;374,63;244,05
dez/16;0.86;3.96;8,64;3,47;49,52;49,52;374,63;244,05;14,04;5,22;52,59;52,59;374,63;244,05;25,19;9,09;57,21;57,21;374,63;244,05;0;0;667,68;57,21;374,63;244,05;25,19;9,09;57,21;57,21;374,63;244,05;0;0;667,68;57,21;374,63;244,05
jan/17;0.78;3.57;8,64;3,47;49,52;49,52;374,63;244,05;14,04;5,22;52,59;52,59;374,63;244,05;25,19;9,09;57,21;57,21;374,63;244,05;0;0;667,68;57,21;374,63;244,05;25,19;9,09;57,21;57,21;374,63;244,05;0;0;667,68;57,21;374,63;244,05
fev/17;0.92;4.26;8,64;3,47;49,52;49,52;374,63;244,05;14,04;5,22;52,59;52,59;374,63;244,05;25,19;9,09;57,21;57,21;374,63;244,05;0;0;667,68;57,21;374,63;244,05;25,19;9,09;57,21;57,21;374,63;244,05;0;0;667,68;57,21;374,63;244,05
mar/17;1.22;5.09;8,64;3,47;49,52;49,52;374,63;244,05;14,04;5,22;52,59;52,59;374,63;244,05;25,19;9,09;57,21;57,21;374,63;244,05;0;0;667,68;57,21;374,63;244,05;25,19;9,09;57,21;57,21;374,63;244,05;0;0;667,68;57,21;374,63;244,05
abr/17;0.83;3.83;8,64;3,47;49,52;49,52;374,63;244,05;14,04;5,22;52,59;52,59;374,63;244,05;25,19;9,09;57,21;57,21;374,63;244,05;0;0;667,68;57,21;374,63;244,05;25,19;9,09;57,21;57,21;374,63;244,05;0;0;667,68;57,21;374,63;244,05
mai/17;0.75;3.48;8,64;3,47;49,52;49,52;374,63;244,05;14,04;5,22;52,59;52,59;374,63;244,05;25,19;9,09;57,21;57,21;374,63;244,05;0;0;667,68;57,21;374,63;244,05;25,19;9,09;57,21;57,21;374,63;244,05;0;0;667,68;57,21;374,63;244,05
jun/17;0.61;2.83;8,64;3,47;49,52;49,52;374,63;244,05;14,04;5,22;52,59;52,59;374,63;244,05;25,19;9,09;57,21;57,21;374,63;244,05;0;0;667,68;57,21;374,63;244,05;25,19;9,09;57,21;57,21;374,63;244,05;0;0;667,68;57,21;374,63;244,05
jul/17;0.5;2.21;8,64;3,47;49,52;49,52;374,63;244,05;14,04;5,22;52,59;52,59;374,63;244,05;25,19;9,09;57,21;57,21;374,63;244,05;0;0;667,68;57,21;374,63;244,05;25,19;9,09;57,21;57,21;374,63;244,05;0;0;667,68;57,21;374,63;244,05
